STATION,DATE,EMXP,PRCP,TMAX,TMIN
SPE00120089,1995-05,0.6,0.9,28.7,12.0
SPE00120089,1995-06,3.2,11.1,30.1,14.5
SPE00120089,1995-07,2.1,2.1,35.4,16.7
SPE00120089,1995-08,17.2,17.2,34.7,16.9
SPE00120089,1995-09,1.0,2.0,27.5,10.9
SPE00120089,1995-10,0.5,1.2,26.4,10.0
SPE00120089,1995-11,11.4,32.8,19.1,6.6
SPE00120089,1995-12,24.1,122.8,14.7,6.1
SPE00120089,1996-01,27.4,147.6,13.4,5.7
SPE00120089,1996-02,16.2,54.3,12.9,1.9
SPE00120089,1996-03,8.1,25.6,17.3,4.9
SPE00120089,1996-04,11.9,26.4,21.4,7.0
SPE00120089,1996-05,57.0,95.4,23.1,9.4
SPE00120089,1996-06,18.1,20.2,31.6,13.6
SPE00120089,1996-07,0.6,2.0,33.9,16.1
SPE00120089,1996-08,0.3,0.3,32.4,14.1
SPE00120089,1996-09,35.5,44.3,26.0,12.3
SPE00120089,1996-10,19.1,24.9,23.4,7.4
SPE00120089,1996-11,17.9,72.0,17.2,4.6
SPE00120089,1996-12,20.8,174.7,13.1,5.2
SPE00120089,1997-01,27.7,159.0,13.0,3.6
SPE00120089,1997-02,0.0,0.0,19.0,2.6
SPE00120089,1997-03,0.0,0.0,22.9,3.4
SPE00120089,1997-04,19.4,42.6,23.4,8.6
SPE00120089,1997-05,52.6,68.6,24.4,10.4
SPE00120089,1997-06,26.1,31.4,28.0,13.6
SPE00120089,1997-07,0.1,0.1,32.3,14.6
SPE00120089,1997-08,8.2,18.2,32.6,15.2
SPE00120089,1997-09,22.7,60.9,29.5,14.1
SPE00120089,1997-10,7.8,23.2,24.6,11.7
SPE00120089,1997-11,18.1,94.9,16.3,7.5
SPE00120089,1997-12,24.6,120.5,13.3,3.7
SPE00120089,1998-01,5.9,14.3,13.8,2.3
SPE00120089,1998-02,29.3,53.2,17.2,4.5
