annee,k1,k2,k3,k4,k5,g2,result
1996,1,-1,1,1,-1,2,-1
1997,1,-1,1,1,-1,2,0
1998,1,-1,1,1,-1,5,-1
1999,1,-1,1,1,-1,2,-1
2000,1,-1,1,1,-1,2,-1
2001,1,-1,1,1,-1,2,1
2002,1,-1,1,1,-1,1,-1
2003,1,-1,1,1,-1,2,1
2004,1,-1,1,1,-1,1,-1
2005,1,-1,-1,1,-1,1,-1
2006,1,-1,1,1,-1,1,1
2007,1,-1,1,1,-1,1,1
2008,1,-1,1,1,-1,2,0
2009,1,-1,1,1,-1,2,1
2010,1,-1,1,1,-1,1,1
2011,1,-1,1,1,-1,2,1
2012,1,-1,-1,1,-1,2,-1
2013,1,-1,1,1,-1,1,1
2014,1,-1,1,1,-1,1,-1
2015,1,-1,1,1,-1,2,1
2016,1,-1,1,1,-1,1,1
